Date,Open,High,Low,Close,Adj Close,Volume,Open_lag1,Open_lag2,Open_lag3,Open_lag4,Open_lag5,Open_lag6,Open_lag7,High_lag1,High_lag2,High_lag3,High_lag4,High_lag5,High_lag6,High_lag7,Low_lag1,Low_lag2,Low_lag3,Low_lag4,Low_lag5,Low_lag6,Low_lag7,Close_lag1,Close_lag2,Close_lag3,Close_lag4,Close_lag5,Close_lag6,Close_lag7,Adj Close_lag1,Adj Close_lag2,Adj Close_lag3,Adj Close_lag4,Adj Close_lag5,Adj Close_lag6,Adj Close_lag7,Volume_lag1,Volume_lag2,Volume_lag3,Volume_lag4,Volume_lag5,Volume_lag6,Volume_lag7
9/17/2014,465.864014,468.174011,452.421997,457.334015,457.334015,21056800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2014,456.859985,456.859985,413.104004,424.440002,424.440002,34483200.0,465.864014,,,,,,,468.174011,,,,,,,452.421997,,,,,,,457.334015,,,,,,,457.334015,,,,,,,21056800.0,,,,,,
9/19/2014,424.102997,427.834991,384.532013,394.79599,394.79599,37919700.0,456.859985,465.864014,,,,,,456.859985,468.174011,,,,,,413.104004,452.421997,,,,,,424.440002,457.334015,,,,,,424.440002,457.334015,,,,,,34483200.0,21056800.0,,,,,
9/20/2014,394.673004,423.29599,389.882996,408.903992,408.903992,36863600.0,424.102997,456.859985,465.864014,,,,,427.834991,456.859985,468.174011,,,,,384.532013,413.104004,452.421997,,,,,394.79599,424.440002,457.334015,,,,,394.79599,424.440002,457.334015,,,,,37919700.0,34483200.0,21056800.0,,,,
9/21/2014,408.084991,412.425995,393.181,398.821014,398.821014,26580100.0,394.673004,424.102997,456.859985,465.864014,,,,423.29599,427.834991,456.859985,468.174011,,,,389.882996,384.532013,413.104004,452.421997,,,,408.903992,394.79599,424.440002,457.334015,,,,408.903992,394.79599,424.440002,457.334015,,,,36863600.0,37919700.0,34483200.0,21056800.0,,,
9/22/2014,399.100006,406.915985,397.130005,402.152008,402.152008,24127600.0,408.084991,394.673004,424.102997,456.859985,465.864014,,,412.425995,423.29599,427.834991,456.859985,468.174011,,,393.181,389.882996,384.532013,413.104004,452.421997,,,398.821014,408.903992,394.79599,424.440002,457.334015,,,398.821014,408.903992,394.79599,424.440002,457.334015,,,26580100.0,36863600.0,37919700.0,34483200.0,21056800.0,,
9/23/2014,402.09201,441.557007,396.196991,435.790985,435.790985,45099500.0,399.100006,408.084991,394.673004,424.102997,456.859985,465.864014,,406.915985,412.425995,423.29599,427.834991,456.859985,468.174011,,397.130005,393.181,389.882996,384.532013,413.104004,452.421997,,402.152008,398.821014,408.903992,394.79599,424.440002,457.334015,,402.152008,398.821014,408.903992,394.79599,424.440002,457.334015,,24127600.0,26580100.0,36863600.0,37919700.0,34483200.0,21056800.0,
9/24/2014,435.751007,436.112,421.131989,423.204987,423.204987,30627700.0,402.09201,399.100006,408.084991,394.673004,424.102997,456.859985,465.864014,441.557007,406.915985,412.425995,423.29599,427.834991,456.859985,468.174011,396.196991,397.130005,393.181,389.882996,384.532013,413.104004,452.421997,435.790985,402.152008,398.821014,408.903992,394.79599,424.440002,457.334015,435.790985,402.152008,398.821014,408.903992,394.79599,424.440002,457.334015,45099500.0,24127600.0,26580100.0,36863600.0,37919700.0,34483200.0,21056800.0
9/25/2014,423.156006,423.519989,409.467987,411.574005,411.574005,26814400.0,435.751007,402.09201,399.100006,408.084991,394.673004,424.102997,456.859985,436.112,441.557007,406.915985,412.425995,423.29599,427.834991,456.859985,421.131989,396.196991,397.130005,393.181,389.882996,384.532013,413.104004,423.204987,435.790985,402.152008,398.821014,408.903992,394.79599,424.440002,423.204987,435.790985,402.152008,398.821014,408.903992,394.79599,424.440002,30627700.0,45099500.0,24127600.0,26580100.0,36863600.0,37919700.0,34483200.0
9/26/2014,411.428986,414.937988,400.009003,404.424988,404.424988,21460800.0,423.156006,435.751007,402.09201,399.100006,408.084991,394.673004,424.102997,423.519989,436.112,441.557007,406.915985,412.425995,423.29599,427.834991,409.467987,421.131989,396.196991,397.130005,393.181,389.882996,384.532013,411.574005,423.204987,435.790985,402.152008,398.821014,408.903992,394.79599,411.574005,423.204987,435.790985,402.152008,398.821014,408.903992,394.79599,26814400.0,30627700.0,45099500.0,24127600.0,26580100.0,36863600.0,37919700.0
9/27/2014,403.556,406.622986,397.372009,399.519989,399.519989,15029300.0,411.428986,423.156006,435.751007,402.09201,399.100006,408.084991,394.673004,414.937988,423.519989,436.112,441.557007,406.915985,412.425995,423.29599,400.009003,409.467987,421.131989,396.196991,397.130005,393.181,389.882996,404.424988,411.574005,423.204987,435.790985,402.152008,398.821014,408.903992,404.424988,411.574005,423.204987,435.790985,402.152008,398.821014,408.903992,21460800.0,26814400.0,30627700.0,45099500.0,24127600.0,26580100.0,36863600.0
